id,score,metric_name
0_0_3,0.8833333333333334,total_score
0_1_3,0.5583333333333333,total_score
0_2_3,0.5583333333333333,total_score
0_3_3,0.5583333333333333,total_score
0_4_3,0.5583333333333333,total_score
1_0_3,0.5583333333333333,total_score
1_1_3,0.625,total_score
1_2_3,0.5583333333333333,total_score
1_3_3,0.5583333333333333,total_score
1_4_3,0.5583333333333333,total_score
2_0_3,0.5583333333333333,total_score
2_1_3,0.95,total_score
2_2_3,0.5583333333333333,total_score
2_3_3,0.5083333333333334,total_score
2_4_3,0.5583333333333333,total_score
3_0_3,1.0,total_score
3_1_3,0.5083333333333334,total_score
3_2_3,0.5583333333333333,total_score
3_3_3,0.5583333333333333,total_score
3_4_3,0.5583333333333333,total_score
4_0_3,0.8333333333333334,total_score
4_1_3,0.5583333333333333,total_score
4_2_3,0.5583333333333333,total_score
4_3_3,0.8833333333333334,total_score
4_4_3,0.5583333333333333,total_score
0_0_6,0.8833333333333334,total_score
0_1_6,0.8333333333333334,total_score
0_2_6,0.5583333333333333,total_score
0_3_6,1.0,total_score
0_4_6,0.5583333333333333,total_score
1_0_6,0.5583333333333333,total_score
1_1_6,0.8333333333333334,total_score
1_2_6,0.38333333333333336,total_score
1_3_6,0.5583333333333333,total_score
1_4_6,0.5583333333333333,total_score
2_0_6,0.5083333333333334,total_score
2_1_6,0.5583333333333333,total_score
2_2_6,0.5583333333333333,total_score
2_3_6,0.4083333333333334,total_score
2_4_6,0.5583333333333333,total_score
3_0_6,0.8833333333333334,total_score
3_1_6,0.8333333333333334,total_score
3_2_6,0.5583333333333333,total_score
3_3_6,0.5583333333333333,total_score
3_4_6,0.5583333333333333,total_score
4_0_6,0.5583333333333333,total_score
4_1_6,0.5583333333333333,total_score
4_2_6,0.5583333333333333,total_score
4_3_6,1.0,total_score
4_4_6,0.55,total_score
0_0_13,0.91328125,total_score
0_1_13,0.45999999999999996,total_score
0_2_13,0.585,total_score
0_3_13,0.75828125,total_score
0_4_13,0.65703125,total_score
1_0_13,0.585,total_score
1_1_13,0.47000000000000003,total_score
1_2_13,0.545,total_score
1_3_13,0.82203125,total_score
1_4_13,0.5506249999999999,total_score
2_0_13,0.545,total_score
2_1_13,0.77,total_score
2_2_13,0.8099999999999999,total_score
2_3_13,0.8525,total_score
2_4_13,0.355,total_score
3_0_13,0.9099999999999999,total_score
3_1_13,0.7537499999999999,total_score
3_2_13,0.82,total_score
3_3_13,0.545,total_score
3_4_13,0.775625,total_score
4_0_13,0.91328125,total_score
4_1_13,0.86328125,total_score
4_2_13,0.8099999999999999,total_score
4_3_13,0.82390625,total_score
4_4_13,0.84828125,total_score
0_0_28,0.7247165532879819,total_score
0_1_28,0.9222222222222222,total_score
0_2_28,0.5583333333333333,total_score
0_3_28,0.8268990929705214,total_score
0_4_28,0.8882086167800454,total_score
1_0_28,0.47023809523809523,total_score
1_1_28,0.42976190476190473,total_score
1_2_28,0.6043650793650793,total_score
1_3_28,0.5663265306122449,total_score
1_4_28,0.3404761904761905,total_score
2_0_28,0.2630952380952381,total_score
2_1_28,0.3696428571428571,total_score
2_2_28,0.39880952380952384,total_score
2_3_28,0.4875850340136054,total_score
2_4_28,0.6267006802721088,total_score
3_0_28,0.5552721088435375,total_score
3_1_28,0.9020408163265307,total_score
3_2_28,0.6435419501133787,total_score
3_3_28,0.7568027210884354,total_score
3_4_28,0.6267006802721088,total_score
4_0_28,0.4227324263038549,total_score
4_1_28,0.8244588744588744,total_score
4_2_28,0.889795918367347,total_score
4_3_28,0.47800453514739233,total_score
4_4_28,0.8575963718820863,total_score
0_0_60,0.36517857142857146,total_score
0_1_60,0.6526785714285714,total_score
0_2_60,0.30016969774590163,total_score
0_3_60,0.33191964285714287,total_score
0_4_60,0.6772011408730159,total_score
1_0_60,0.23839285714285713,total_score
1_1_60,0.21215659340659343,total_score
1_2_60,0.3220982142857143,total_score
1_3_60,0.6480820345133667,total_score
1_4_60,0.2790178571428571,total_score
2_0_60,0.37008928571428573,total_score
2_1_60,0.3263392857142857,total_score
2_2_60,0.443030753968254,total_score
2_3_60,0.5926835317460317,total_score
2_4_60,0.26964285714285713,total_score
3_0_60,0.483429439484127,total_score
3_1_60,0.4565631200396826,total_score
3_2_60,0.5575241815476191,total_score
3_3_60,0.6693718998015873,total_score
3_4_60,0.7656125992063492,total_score
4_0_60,0.2978788442460317,total_score
4_1_60,0.41142857142857137,total_score
4_2_60,0.6349175347222222,total_score
4_3_60,0.7952503891283524,total_score
4_4_60,0.5976311665764791,total_score
0_0_120,0.7282844387755103,total_score
0_1_120,0.35095982142857146,total_score
0_2_120,0.7703024484250223,total_score
0_3_120,0.6117386798469389,total_score
0_4_120,0.6907286352040816,total_score
1_0_120,0.28125,total_score
1_1_120,0.20892857142857144,total_score
1_2_120,0.43539540816326533,total_score
1_3_120,0.3874202806122449,total_score
1_4_120,0.4413424744897959,total_score
2_0_120,0.3334821428571429,total_score
2_1_120,0.20758928571428573,total_score
2_2_120,0.6485672654478458,total_score
2_3_120,0.39419968981910947,total_score
2_4_120,0.4549891050170068,total_score
3_0_120,0.7152064732142857,total_score
3_1_120,0.4962061833549143,total_score
3_2_120,0.5373979591836735,total_score
3_3_120,0.4816419005102041,total_score
3_4_120,0.425,total_score
4_0_120,0.5484008290816326,total_score
4_1_120,0.3084725595690404,total_score
4_2_120,0.4113906740580847,total_score
4_3_120,0.29776785714285714,total_score
4_4_120,0.5341519955021482,total_score
